recommendation_type,entity_type,entity_id,priority,risk_level,probability,recommendation,business_reason,booking_id,customer_id,cancellation_probability_pct,intervention_type,recommended_action,business_objective,customer_segment,route_name,source,destination,booking_count,seats_booked,total_revenue,forecast_demand,average_forecast_demand,priority_score
Loyalty Campaign,Customer,CUST02097,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Campaign,Customer,CUST02098,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Potential Loyalists,,,,,,,,,3
Win-back Campaign,Customer,CUST02099,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Rewards,Customer,CUST02103,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Win-back Campaign,Customer,CUST02104,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Rewards,Customer,CUST02106,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Campaign,Customer,CUST02108,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Potential Loyalists,,,,,,,,,3
Loyalty Rewards,Customer,CUST02110,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Campaign,Customer,CUST02111,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Campaign,Customer,CUST02114,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Rewards,Customer,CUST02116,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Campaign,Customer,CUST02117,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Rewards,Customer,CUST02119,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Win-back Campaign,Customer,CUST02120,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Campaign,Customer,CUST02121,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Campaign,Customer,CUST02122,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Potential Loyalists,,,,,,,,,3
Win-back Campaign,Customer,CUST02123,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Rewards,Customer,CUST02126,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Win-back Campaign,Customer,CUST02127,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Campaign,Customer,CUST02133,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Campaign,Customer,CUST02141,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Win-back Campaign,Customer,CUST02143,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Rewards,Customer,CUST02147,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Rewards,Customer,CUST02150,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Rewards,Customer,CUST02153,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Win-back Campaign,Customer,CUST02154,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Campaign,Customer,CUST02155,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Campaign,Customer,CUST02157,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Potential Loyalists,,,,,,,,,3
Loyalty Campaign,Customer,CUST02158,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Potential Loyalists,,,,,,,,,3
Win-back Campaign,Customer,CUST02159,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Win-back Campaign,Customer,CUST02162,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Campaign,Customer,CUST02165,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Potential Loyalists,,,,,,,,,3
Win-back Campaign,Customer,CUST02167,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Campaign,Customer,CUST02170,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Rewards,Customer,CUST02171,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Win-back Campaign,Customer,CUST02172,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Rewards,Customer,CUST02177,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Campaign,Customer,CUST02178,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Win-back Campaign,Customer,CUST02179,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Win-back Campaign,Customer,CUST02181,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Rewards,Customer,CUST02182,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Campaign,Customer,CUST02183,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Potential Loyalists,,,,,,,,,3
Win-back Campaign,Customer,CUST02184,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Campaign,Customer,CUST02186,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Rewards,Customer,CUST02188,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Campaign,Customer,CUST02189,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Win-back Campaign,Customer,CUST02191,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Rewards,Customer,CUST02193,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Win-back Campaign,Customer,CUST02195,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Rewards,Customer,CUST02196,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Campaign,Customer,CUST02197,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Campaign,Customer,CUST02198,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Win-back Campaign,Customer,CUST02202,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Campaign,Customer,CUST02203,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Campaign,Customer,CUST02206,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Rewards,Customer,CUST02209,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Win-back Campaign,Customer,CUST02211,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Campaign,Customer,CUST02213,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Potential Loyalists,,,,,,,,,3
Win-back Campaign,Customer,CUST02214,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Rewards,Customer,CUST02217,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Win-back Campaign,Customer,CUST02218,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Campaign,Customer,CUST02219,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Win-back Campaign,Customer,CUST02221,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Rewards,Customer,CUST02222,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Rewards,Customer,CUST02223,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Campaign,Customer,CUST02224,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Win-back Campaign,Customer,CUST02225,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Campaign,Customer,CUST02226,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Rewards,Customer,CUST02228,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Campaign,Customer,CUST02230,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Rewards,Customer,CUST02231,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Win-back Campaign,Customer,CUST02232,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Campaign,Customer,CUST02233,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Potential Loyalists,,,,,,,,,3
Win-back Campaign,Customer,CUST02234,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Rewards,Customer,CUST02235,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Win-back Campaign,Customer,CUST02239,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Rewards,Customer,CUST02241,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Rewards,Customer,CUST02242,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Win-back Campaign,Customer,CUST02243,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Win-back Campaign,Customer,CUST02244,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Campaign,Customer,CUST02246,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Potential Loyalists,,,,,,,,,3
Loyalty Rewards,Customer,CUST02247,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Campaign,Customer,CUST02248,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Potential Loyalists,,,,,,,,,3
Loyalty Rewards,Customer,CUST02249,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Rewards,Customer,CUST02251,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Campaign,Customer,CUST02253,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Campaign,Customer,CUST02254,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Rewards,Customer,CUST02255,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Rewards,Customer,CUST02256,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Rewards,Customer,CUST02258,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Campaign,Customer,CUST02259,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Rewards,Customer,CUST02260,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Win-back Campaign,Customer,CUST02261,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Campaign,Customer,CUST02262,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Rewards,Customer,CUST02263,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Win-back Campaign,Customer,CUST02264,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Campaign,Customer,CUST02265,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Potential Loyalists,,,,,,,,,3
Loyalty Campaign,Customer,CUST02266,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Campaign,Customer,CUST02267,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Potential Loyalists,,,,,,,,,3
Loyalty Rewards,Customer,CUST02268,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Rewards,Customer,CUST02269,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Campaign,Customer,CUST02270,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Potential Loyalists,,,,,,,,,3
Loyalty Rewards,Customer,CUST02272,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Campaign,Customer,CUST02275,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Potential Loyalists,,,,,,,,,3
Loyalty Rewards,Customer,CUST02276,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Campaign,Customer,CUST02277,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Rewards,Customer,CUST02280,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Win-back Campaign,Customer,CUST02281,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Rewards,Customer,CUST02282,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Campaign,Customer,CUST02283,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Potential Loyalists,,,,,,,,,3
Loyalty Campaign,Customer,CUST02284,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Campaign,Customer,CUST02288,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Potential Loyalists,,,,,,,,,3
Win-back Campaign,Customer,CUST02289,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Campaign,Customer,CUST02292,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Campaign,Customer,CUST02293,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Potential Loyalists,,,,,,,,,3
Win-back Campaign,Customer,CUST02294,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Campaign,Customer,CUST02295,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Campaign,Customer,CUST02296,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Win-back Campaign,Customer,CUST02297,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Rewards,Customer,CUST02298,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Campaign,Customer,CUST02299,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Campaign,Customer,CUST02300,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Win-back Campaign,Customer,CUST02301,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Rewards,Customer,CUST02302,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Campaign,Customer,CUST02303,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Win-back Campaign,Customer,CUST02306,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Win-back Campaign,Customer,CUST02307,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Campaign,Customer,CUST02310,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Campaign,Customer,CUST02311,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Rewards,Customer,CUST02313,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Win-back Campaign,Customer,CUST02314,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Win-back Campaign,Customer,CUST02316,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Campaign,Customer,CUST02317,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Campaign,Customer,CUST02318,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Campaign,Customer,CUST02319,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Potential Loyalists,,,,,,,,,3
Win-back Campaign,Customer,CUST02321,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Win-back Campaign,Customer,CUST02324,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Campaign,Customer,CUST02326,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Potential Loyalists,,,,,,,,,3
Loyalty Rewards,Customer,CUST02328,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Win-back Campaign,Customer,CUST02329,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Rewards,Customer,CUST02330,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Campaign,Customer,CUST02331,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Loyalty Rewards,Customer,CUST02332,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Rewards,Customer,CUST02334,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Rewards,Customer,CUST02339,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Win-back Campaign,Customer,CUST02340,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Campaign,Customer,CUST02341,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Loyal Customers,,,,,,,,,3
Win-back Campaign,Customer,CUST02342,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Win-back Campaign,Customer,CUST02344,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
Loyalty Rewards,Customer,CUST02345,HIGH,,,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.,,,,,,,Champions,,,,,,,,,3
Loyalty Campaign,Customer,CUST02346,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Potential Loyalists,,,,,,,,,3
Loyalty Campaign,Customer,CUST02347,HIGH,,,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.,,,,,,,Potential Loyalists,,,,,,,,,3
Win-back Campaign,Customer,CUST02350,HIGH,,,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.,,,,,,,At Risk,,,,,,,,,3
