trip_id,route_id,operator_id,vehicle_type,departure_datetime,arrival_datetime,total_seats
TRIP00282,R013,OP020,BUS,2025-10-11 08:00:00,2025-10-11 10:23:53.470289,30
TRIP00283,R026,OP016,CAB,2026-02-28 08:30:00,2026-02-28 19:23:07.902750,4
TRIP00284,R030,OP004,AUTO,2026-10-26 08:30:00,2026-10-26 10:36:29.248445,3
TRIP00285,R026,OP014,CAB,2026-01-23 21:30:00,2026-01-24 07:14:06.620048,6
TRIP00286,R028,OP020,CAB,2025-05-30 11:45:00,2025-05-30 16:14:44.447794,5
TRIP00287,R013,OP003,BUS,2026-05-16 13:45:00,2026-05-16 16:55:48.762677,50
TRIP00288,R017,OP015,BUS,2026-04-20 10:00:00,2026-04-20 14:59:22.394113,50
TRIP00289,R023,OP007,BIKE,2026-06-21 14:15:00,2026-06-21 21:12:27.389146,1
TRIP00290,R001,OP006,BUS,2025-05-25 14:30:00,2025-05-25 22:16:08.801053,50
TRIP00291,R015,OP009,CAB,2026-06-27 07:45:00,2026-06-27 10:13:36.852950,5
TRIP00292,R015,OP017,BIKE,2025-07-25 13:45:00,2025-07-25 15:40:30.321452,1
TRIP00293,R002,OP011,CAB,2025-06-14 20:15:00,2025-06-15 02:51:45.595250,4
TRIP00294,R003,OP003,CAB,2025-08-29 20:45:00,2025-08-30 07:23:22.560003,4
TRIP00295,R030,OP006,BIKE,2025-10-02 16:30:00,2025-10-02 18:17:57.348149,1
TRIP00296,R023,OP001,BUS,2026-11-06 21:30:00,2026-11-07 03:32:51.888240,30
TRIP00297,R024,OP016,BIKE,2026-08-04 08:15:00,2026-08-04 16:18:46.495569,1
TRIP00298,R020,OP013,BUS,2025-09-08 22:15:00,2025-09-09 05:12:12.962296,40
TRIP00299,R027,OP012,BUS,2025-01-21 15:45:00,2025-01-22 01:52:06.428457,50
TRIP00300,R006,OP004,AUTO,2025-07-18 10:00:00,2025-07-18 12:50:34.465049,3
